Shipment,Induct Station,Destination
FKMP0001,1,A
FKMP0002,1,P
FKMP0006,1,M
FKMP0011,1,D
FKMP0013,1,J
FKMP0014,1,M
FKMP0016,1,K
FKMP0017,1,B
FKMP0020,1,K
FKMP0021,1,D
FKMP0022,1,J
FKMP0024,1,D
FKMP0028,1,C
FKMP0035,1,H
FKMP0036,1,D
FKMP0039,1,K
FKMP0040,1,K
FKMP0041,1,K
FKMP0043,1,D
FKMP0047,1,H
FKMP0048,1,B
FKMP0050,1,J
FKMP0051,1,D
FKMP0053,1,A
FKMP0054,1,D
FKMP0058,1,C
FKMP0061,1,J
FKMP0062,1,P
FKMP0063,1,C
FKMP0064,1,D
FKMP0068,1,M
FKMP0076,1,J
FKMP0078,1,H
FKMP0079,1,K
FKMP0083,1,J
FKMP0090,1,C
FKMP0091,1,C
FKMP0094,1,D
FKMP0096,1,K
FKMP0097,1,P
FKMP0098,1,A
FKMP0099,1,D
FKMP0100,1,K
FKMP0101,1,A
FKMP0102,1,J
FKMP0106,1,J
FKMP0108,1,J
FKMP0110,1,D
FKMP0111,1,K
FKMP0112,1,A
FKMP0113,1,B
FKMP0116,1,M
FKMP0119,1,C
FKMP0120,1,B
FKMP0121,1,B
FKMP0122,1,D
FKMP0123,1,K
FKMP0127,1,A
FKMP0129,1,H
FKMP0130,1,D
FKMP0131,1,M
FKMP0135,1,H
FKMP0136,1,B
FKMP0137,1,B
FKMP0138,1,P
FKMP0140,1,M
FKMP0141,1,H
FKMP0142,1,C
FKMP0144,1,D
FKMP0147,1,D
FKMP0149,1,D
FKMP0151,1,P
FKMP0152,1,H
FKMP0154,1,K
FKMP0158,1,D
FKMP0159,1,K
FKMP0162,1,H
FKMP0164,1,C
FKMP0165,1,J
FKMP0166,1,H
FKMP0167,1,P
FKMP0168,1,B
FKMP0169,1,P
FKMP0170,1,H
FKMP0176,1,C
FKMP0182,1,A
FKMP0183,1,A
FKMP0185,1,K
FKMP0186,1,K
FKMP0190,1,D
FKMP0191,1,M
FKMP0193,1,A
FKMP0200,1,P
FKMP0205,1,A
FKMP0207,1,J
FKMP0212,1,D
FKMP0214,1,K
FKMP0215,1,J
FKMP0217,1,P
FKMP0220,1,K
FKMP0225,1,K
FKMP0226,1,M
FKMP0227,1,A
FKMP0228,1,K
FKMP0232,1,K
FKMP0234,1,H
FKMP0235,1,D
FKMP0239,1,M
FKMP0241,1,P
FKMP0242,1,B
FKMP0244,1,M
FKMP0245,1,D
FKMP0246,1,M
FKMP0248,1,C
FKMP0249,1,A
FKMP0250,1,C
FKMP0252,1,A
FKMP0253,1,B
FKMP0255,1,A
FKMP0257,1,H
FKMP0260,1,A
FKMP0261,1,C
FKMP0262,1,D
FKMP0263,1,C
FKMP0264,1,P
FKMP0265,1,J
FKMP0267,1,B
FKMP0269,1,A
FKMP0270,1,B
FKMP0271,1,B
FKMP0273,1,A
FKMP0274,1,M
FKMP0278,1,P
FKMP0283,1,C
FKMP0284,1,C
FKMP0287,1,B
FKMP0289,1,B
FKMP0291,1,K
FKMP0292,1,A
FKMP0296,1,D
FKMP0300,1,K
