Shipment,Induct Station,Destination
FKMP0001,1,A
FKMP0002,1,P
FKMP0006,1,M
FKMP0011,1,D
FKMP0013,1,J
FKMP0014,1,M
FKMP0016,1,K
FKMP0017,1,B
FKMP0020,1,K
FKMP0021,1,D
FKMP0022,1,J
FKMP0024,1,D
FKMP0028,1,C
FKMP0035,1,H
FKMP0036,1,D
FKMP0039,1,K
FKMP0040,1,K
FKMP0041,1,K
FKMP0043,1,D
FKMP0047,1,H
FKMP0048,1,B
FKMP0050,1,J
FKMP0051,1,D
FKMP0053,1,A
FKMP0054,1,D
FKMP0058,1,C
FKMP0061,1,J
FKMP0062,1,P
FKMP0063,1,C
FKMP0064,1,D
FKMP0068,1,M
FKMP0076,1,J
FKMP0078,1,H
FKMP0079,1,K
FKMP0083,1,J
FKMP0090,1,C
FKMP0091,1,C
FKMP0094,1,D
FKMP0096,1,K
FKMP0097,1,P
FKMP0098,1,A
FKMP0099,1,D
FKMP0100,1,K
FKMP0101,1,A
FKMP0102,1,J
FKMP0106,1,J
FKMP0108,1,J
FKMP0110,1,D
FKMP0111,1,K
FKMP0112,1,A
FKMP0113,1,B
FKMP0116,1,M
FKMP0119,1,C
FKMP0120,1,B
FKMP0121,1,B
FKMP0122,1,D
FKMP0123,1,K
FKMP0127,1,A
FKMP0129,1,H
FKMP0130,1,D
FKMP0131,1,M
FKMP0135,1,H
FKMP0136,1,B
FKMP0137,1,B
FKMP0138,1,P
FKMP0140,1,M
FKMP0141,1,H
FKMP0142,1,C
FKMP0144,1,D
FKMP0147,1,D
FKMP0149,1,D
FKMP0151,1,P
FKMP0152,1,H
FKMP0154,1,K
FKMP0158,1,D
FKMP0159,1,K
FKMP0162,1,H
FKMP0164,1,C
FKMP0165,1,J
FKMP0166,1,H
FKMP0167,1,P
FKMP0168,1,B
FKMP0169,1,P
FKMP0170,1,H
FKMP0176,1,C
FKMP0182,1,A
FKMP0183,1,A
FKMP0185,1,K
FKMP0186,1,K
FKMP0190,1,D
FKMP0191,1,M
FKMP0193,1,A
FKMP0200,1,P
FKMP0205,1,A
FKMP0207,1,J
FKMP0212,1,D
FKMP0214,1,K
FKMP0215,1,J
FKMP0217,1,P
FKMP0220,1,K
FKMP0225,1,K
FKMP0226,1,M
FKMP0227,1,A
FKMP0228,1,K
FKMP0232,1,K
FKMP0234,1,H
FKMP0235,1,D
FKMP0239,1,M
FKMP0241,1,P
FKMP0242,1,B
FKMP0244,1,M
FKMP0245,1,D
FKMP0246,1,M
FKMP0248,1,C
FKMP0249,1,A
FKMP0250,1,C
FKMP0252,1,A
FKMP0253,1,B
FKMP0255,1,A
FKMP0257,1,H
FKMP0260,1,A
FKMP0261,1,C
FKMP0262,1,D
FKMP0263,1,C
FKMP0264,1,P
FKMP0265,1,J
FKMP0267,1,B
FKMP0269,1,A
FKMP0270,1,B
FKMP0271,1,B
FKMP0273,1,A
FKMP0274,1,M
FKMP0278,1,P
FKMP0283,1,C
FKMP0284,1,C
FKMP0287,1,B
FKMP0289,1,B
FKMP0291,1,K
FKMP0292,1,A
FKMP0296,1,D
FKMP0300,1,K
FKMP0003,2,A
FKMP0004,2,B
FKMP0005,2,K
FKMP0007,2,D
FKMP0008,2,D
FKMP0009,2,B
FKMP0010,2,A
FKMP0012,2,C
FKMP0015,2,H
FKMP0018,2,C
FKMP0019,2,A
FKMP0023,2,H
FKMP0025,2,B
FKMP0026,2,B
FKMP0027,2,A
FKMP0029,2,B
FKMP0030,2,B
FKMP0031,2,H
FKMP0032,2,C
FKMP0033,2,M
FKMP0034,2,D
FKMP0037,2,J
FKMP0038,2,M
FKMP0042,2,H
FKMP0044,2,C
FKMP0045,2,D
FKMP0046,2,A
FKMP0049,2,A
FKMP0052,2,M
FKMP0055,2,K
FKMP0056,2,A
FKMP0057,2,K
FKMP0059,2,H
FKMP0060,2,M
FKMP0065,2,H
FKMP0066,2,J
FKMP0067,2,M
FKMP0069,2,C
FKMP0070,2,M
FKMP0071,2,B
FKMP0072,2,H
FKMP0073,2,P
FKMP0074,2,B
FKMP0075,2,B
FKMP0077,2,P
FKMP0080,2,C
FKMP0081,2,H
FKMP0082,2,K
FKMP0084,2,D
FKMP0085,2,D
FKMP0086,2,M
FKMP0087,2,C
FKMP0088,2,H
FKMP0089,2,H
FKMP0092,2,C
FKMP0093,2,K
FKMP0095,2,P
FKMP0103,2,M
FKMP0104,2,C
FKMP0105,2,B
FKMP0107,2,P
FKMP0109,2,M
FKMP0114,2,M
FKMP0115,2,D
FKMP0117,2,K
FKMP0118,2,D
FKMP0124,2,H
FKMP0125,2,M
FKMP0126,2,C
FKMP0128,2,H
FKMP0132,2,A
FKMP0133,2,J
FKMP0134,2,D
FKMP0139,2,J
FKMP0143,2,M
FKMP0145,2,J
FKMP0146,2,P
FKMP0148,2,D
FKMP0150,2,A
FKMP0153,2,J
FKMP0155,2,J
FKMP0156,2,A
FKMP0157,2,J
FKMP0160,2,A
FKMP0161,2,B
FKMP0163,2,D
FKMP0171,2,M
FKMP0172,2,P
FKMP0173,2,C
FKMP0174,2,P
FKMP0175,2,C
FKMP0177,2,P
FKMP0178,2,C
FKMP0179,2,K
FKMP0180,2,C
FKMP0181,2,B
FKMP0184,2,B
FKMP0187,2,D
FKMP0188,2,P
FKMP0189,2,P
FKMP0192,2,D
FKMP0194,2,J
FKMP0195,2,A
FKMP0196,2,M
FKMP0197,2,M
FKMP0198,2,B
FKMP0199,2,B
FKMP0201,2,J
FKMP0202,2,B
FKMP0203,2,C
FKMP0204,2,D
FKMP0206,2,B
FKMP0208,2,P
FKMP0209,2,H
FKMP0210,2,A
FKMP0211,2,H
FKMP0213,2,A
FKMP0216,2,J
FKMP0218,2,D
FKMP0219,2,K
FKMP0221,2,M
FKMP0222,2,B
FKMP0223,2,B
FKMP0224,2,H
FKMP0229,2,J
FKMP0230,2,D
FKMP0231,2,P
FKMP0233,2,C
FKMP0236,2,K
FKMP0237,2,P
FKMP0238,2,P
FKMP0240,2,P
FKMP0243,2,H
FKMP0247,2,C
FKMP0251,2,K
FKMP0254,2,D
FKMP0256,2,J
FKMP0258,2,M
FKMP0259,2,M
FKMP0266,2,D
FKMP0268,2,C
FKMP0272,2,J
FKMP0275,2,A
FKMP0276,2,M
FKMP0277,2,M
FKMP0279,2,B
FKMP0280,2,A
FKMP0281,2,P
FKMP0282,2,K
FKMP0285,2,H
FKMP0286,2,B
FKMP0288,2,C
FKMP0290,2,B
FKMP0293,2,A
FKMP0294,2,B
FKMP0295,2,B
FKMP0297,2,D
FKMP0298,2,M
FKMP0299,2,A
